Variant,β_treat,SE,p,N
HC0,0.8655856807500295,0.731263919486763,0.23653802354795894,614
HC1,0.8655856807500295,0.7385163010964605,0.24117282386425198,614
HC3,0.8655856807500295,0.7487500382273088,0.24766442100274733,614
Baseline (M5),0.8655856807500295,0.7487500382273088,0.24766442100274733,614
Winsor 1/99,642.0847676779504,713.3662939129488,0.36807914522614904,614
Log outcome,0.8215692487959294,0.43089561311998575,0.056565285789384204,614
Common support,0.8871609770881776,0.7560814537925756,0.2406486913413437,600
Drop unemployed-74,-1.119147869006869,1.176959577924592,0.341665060260968,371
Drop nodegree,1.446093203403207,1.4529570295156846,0.3196020662193704,227
Placebo (re75),0.20905478387324483,0.28707331908990014,0.4664741246745654,614
IPW,1.378430564402246,1.120140478267165,0.21847728507466746,614
PSM (1:1 NN),-0.030580977663043386,0.7598311674586565,0.9678961521223803,368
